,text,favourite_count,retweet_count,created_at
60,"Here's a special message from #VinDiesel to all his fans out there.
Come experience the thrill on the big screen again with your family only at PVR CINEMAS
Advance booking for Fast and Furious 9 is Now Open
BOOK YOUR TICKETS NOW - https://t.co/m5dFoUiRST https://t.co/llvndiRLOv",0,0,2021-09-01 12:00:08
61,"RT @da13thsun: Th Soul may desire to test drive a Better Body like Ye love a new benz AMG...

This is NOT Your Assigned Vessel and must ret…",0,36,2021-09-01 11:57:26
62,"@IntelGaming @LenovoLegion Need for Speed Most wanted to Fast and Furious 9
 #IntelGamerDays
@IntelGaming
 
@LenovoLegion",0,0,2021-09-01 11:48:46
63,"RT @da13thsun: Th Soul may desire to test drive a Better Body like Ye love a new benz AMG...

This is NOT Your Assigned Vessel and must ret…",0,36,2021-09-01 11:44:38
64,Have you heard of Fast and Furious 9 ? https://t.co/CTidbXtTJc,10,0,2021-09-01 11:44:19
65,"RT @Amara_Bengaluru: Fast and Furious 9 in Kannada in Belagavi. #FF9InKannada
@INOXMovies https://t.co/Xayr4Gzs28",0,10,2021-09-01 11:40:20
66,Fast and Furious 9 https://t.co/uTbHkQFoCO,1,0,2021-09-01 11:38:43
67,"RT @INOXMovies: And the Legacy never ends, because Fast and Furious is back again! 
Fast and Furious 9, is all set to release at your neare…",0,4,2021-09-01 11:09:58
68,"RT @INOXMovies: And the Legacy never ends, because Fast and Furious is back again! 
Fast and Furious 9, is all set to release at your neare…",0,4,2021-09-01 11:09:52
69,"RT @INOXMovies: And the Legacy never ends, because Fast and Furious is back again! 
Fast and Furious 9, is all set to release at your neare…",0,4,2021-09-01 11:05:27
70,"And the Legacy never ends, because Fast and Furious is back again! 
Fast and Furious 9, is all set to release at your nearest INOX on 3rd September!
Are you ready? 
Book your tickets now!
https://t.co/o5Ko0ggJ7m

@UniversalIND @TheFastSaga
#INOX #F9 #Legacy #FastandFuriousLegacy https://t.co/dwxm7y77nN",16,4,2021-09-01 11:03:51
71,"Online Ticket Booking has opened now @TicketNew for Fast and Furious 9 (Tamil-2D) at @gvstudiocitytnj
Screen : Shanthi 4K AC DTS
#FastAndFurious9
#Theatersareback https://t.co/pgsPhOZgR0",8,0,2021-09-01 11:03:14
72,"RT @asnanih97: September month for others vs CA students ​
Others waiting for
Money heist 
Shang chi 
Black widow 
Fast and furious 9
Lucif…",0,4,2021-09-01 11:01:45
73,"RT @da13thsun: Th Soul may desire to test drive a Better Body like Ye love a new benz AMG...

This is NOT Your Assigned Vessel and must ret…",0,36,2021-09-01 10:48:50
74,RT @MoeSargi: I watched fast and furious 9 last night. And let me just say Paul Walker would be so disappointed. Really wish they would bri…,0,34,2021-09-01 09:43:37
75,"RT @da13thsun: Th Soul may desire to test drive a Better Body like Ye love a new benz AMG...

This is NOT Your Assigned Vessel and must ret…",0,36,2021-09-01 09:25:52
76,@iamcardib is in the fast and furious 9 movie 😭😭😭😊 https://t.co/bbofKf1IPF,0,0,2021-09-01 09:25:35
77,"RT @da13thsun: Th Soul may desire to test drive a Better Body like Ye love a new benz AMG...

This is NOT Your Assigned Vessel and must ret…",0,36,2021-09-01 09:21:09
78,Well fast and furious 9 would disagree https://t.co/yCf66EAg43,1,0,2021-09-01 09:20:04
79,🎥:Fast and furious 9✅,0,0,2021-09-01 09:18:33
80,@itisprashanth Finallyyy.... Congratulations🎉 bro... Enaku Fast and furious 9 #ff9 movie ku tirupur la any theater sunday ku 3 tickets book panni vidu bro..,0,0,2021-09-01 09:11:47
